2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=32 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=32 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.045000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=34 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=33 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.024200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=33 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.046000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=34 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=35 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=34 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.046500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=35 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=35 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.007600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=36 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.049400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=36 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=36 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.027200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=37 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.049400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=37 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=38 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=37 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.027700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=39 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=38 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=38 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.030400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=40 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=39 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=39 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.050300
